date_key,full_date,day_of_week,day_num_in_month,day_num_overall,day_name,day_abbrev,weekday_flag,week_num_in_year,week_num_overall,week_begin_date,week_begin_date_key,month,month_num_overall,month_name,month_abbrev,quarter,year,yearmo,fiscal_month,fiscal_quarter,fiscal_year,month_end_flag,same_day_year_ago
20160209,2/9/2016,2,9,40,Tuesday,Tue,True,7,7,2/8/2016,20160208,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/9/2015
20160210,2/10/2016,3,10,41,Wednesday,Wed,True,7,7,2/8/2016,20160208,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/10/2015
20160211,2/11/2016,4,11,42,Thursday,Thu,True,7,7,2/8/2016,20160208,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/11/2015
20160212,2/12/2016,5,12,43,Friday,Fri,True,7,7,2/8/2016,20160208,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/12/2015
20160213,2/13/2016,6,13,44,Saturday,Sat,False,7,7,2/8/2016,20160208,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/13/2015
20160214,2/14/2016,7,14,45,Sunday,Sun,False,7,7,2/8/2016,20160208,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/14/2015
20160215,2/15/2016,1,15,46,Monday,Mon,True,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/15/2015
20160216,2/16/2016,2,16,47,Tuesday,Tue,True,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/16/2015
20160217,2/17/2016,3,17,48,Wednesday,Wed,True,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/17/2015
20160218,2/18/2016,4,18,49,Thursday,Thu,True,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/18/2015
20160219,2/19/2016,5,19,50,Friday,Fri,True,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/19/2015
20160220,2/20/2016,6,20,51,Saturday,Sat,False,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/20/2015
20160221,2/21/2016,7,21,52,Sunday,Sun,False,8,8,2/15/2016,20160215,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/21/2015
20160222,2/22/2016,1,22,53,Monday,Mon,True,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/22/2015
20160223,2/23/2016,2,23,54,Tuesday,Tue,True,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/23/2015
20160224,2/24/2016,3,24,55,Wednesday,Wed,True,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/24/2015
20160225,2/25/2016,4,25,56,Thursday,Thu,True,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/25/2015
20160226,2/26/2016,5,26,57,Friday,Fri,True,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/26/2015
20160227,2/27/2016,6,27,58,Saturday,Sat,False,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/27/2015
20160228,2/28/2016,7,28,59,Sunday,Sun,False,9,9,2/22/2016,20160222,2,2,February,Feb,1,2016,201602,8,3,2016,False,2/28/2015
20160229,2/29/2016,1,29,60,Monday,Mon,True,10,10,2/29/2016,20160229,2,2,February,Feb,1,2016,201602,8,3,2016,True,3/1/2015
20160301,3/1/2016,2,1,61,Tuesday,Tue,True,10,10,2/29/2016,20160229,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/1/2015
20160302,3/2/2016,3,2,62,Wednesday,Wed,True,10,10,2/29/2016,20160229,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/2/2015
20160303,3/3/2016,4,3,63,Thursday,Thu,True,10,10,2/29/2016,20160229,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/3/2015
20160304,3/4/2016,5,4,64,Friday,Fri,True,10,10,2/29/2016,20160229,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/4/2015
20160305,3/5/2016,6,5,65,Saturday,Sat,False,10,10,2/29/2016,20160229,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/5/2015
20160306,3/6/2016,7,6,66,Sunday,Sun,False,10,10,2/29/2016,20160229,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/6/2015
20160307,3/7/2016,1,7,67,Monday,Mon,True,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/7/2015
20160308,3/8/2016,2,8,68,Tuesday,Tue,True,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/8/2015
20160309,3/9/2016,3,9,69,Wednesday,Wed,True,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/9/2015
20160310,3/10/2016,4,10,70,Thursday,Thu,True,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/10/2015
20160311,3/11/2016,5,11,71,Friday,Fri,True,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/11/2015
20160312,3/12/2016,6,12,72,Saturday,Sat,False,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/12/2015
20160313,3/13/2016,7,13,73,Sunday,Sun,False,11,11,3/7/2016,20160307,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/13/2015
20160314,3/14/2016,1,14,74,Monday,Mon,True,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/14/2015
20160315,3/15/2016,2,15,75,Tuesday,Tue,True,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/15/2015
20160316,3/16/2016,3,16,76,Wednesday,Wed,True,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/16/2015
20160317,3/17/2016,4,17,77,Thursday,Thu,True,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/17/2015
20160318,3/18/2016,5,18,78,Friday,Fri,True,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/18/2015
20160319,3/19/2016,6,19,79,Saturday,Sat,False,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/19/2015
20160320,3/20/2016,7,20,80,Sunday,Sun,False,12,12,3/14/2016,20160314,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/20/2015
20160321,3/21/2016,1,21,81,Monday,Mon,True,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/21/2015
20160322,3/22/2016,2,22,82,Tuesday,Tue,True,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/22/2015
20160323,3/23/2016,3,23,83,Wednesday,Wed,True,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/23/2015
20160324,3/24/2016,4,24,84,Thursday,Thu,True,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/24/2015
20160325,3/25/2016,5,25,85,Friday,Fri,True,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/25/2015
20160326,3/26/2016,6,26,86,Saturday,Sat,False,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/26/2015
20160327,3/27/2016,7,27,87,Sunday,Sun,False,13,13,3/21/2016,20160321,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/27/2015
20160328,3/28/2016,1,28,88,Monday,Mon,True,14,14,3/28/2016,20160328,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/28/2015
20160329,3/29/2016,2,29,89,Tuesday,Tue,True,14,14,3/28/2016,20160328,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/29/2015
20160330,3/30/2016,3,30,90,Wednesday,Wed,True,14,14,3/28/2016,20160328,3,3,March,Mar,1,2016,201603,9,3,2016,False,3/30/2015
20160331,3/31/2016,4,31,91,Thursday,Thu,True,14,14,3/28/2016,20160328,3,3,March,Mar,1,2016,201603,9,3,2016,True,3/31/2015
20160401,4/1/2016,5,1,92,Friday,Fri,True,14,14,3/28/2016,20160328,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/1/2015
20160402,4/2/2016,6,2,93,Saturday,Sat,False,14,14,3/28/2016,20160328,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/2/2015
20160403,4/3/2016,7,3,94,Sunday,Sun,False,14,14,3/28/2016,20160328,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/3/2015
20160404,4/4/2016,1,4,95,Monday,Mon,True,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/4/2015
20160405,4/5/2016,2,5,96,Tuesday,Tue,True,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/5/2015
20160406,4/6/2016,3,6,97,Wednesday,Wed,True,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/6/2015
20160407,4/7/2016,4,7,98,Thursday,Thu,True,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/7/2015
20160408,4/8/2016,5,8,99,Friday,Fri,True,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/8/2015
20160409,4/9/2016,6,9,100,Saturday,Sat,False,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/9/2015
20160410,4/10/2016,7,10,101,Sunday,Sun,False,15,15,4/4/2016,20160404,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/10/2015
20160411,4/11/2016,1,11,102,Monday,Mon,True,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/11/2015
20160412,4/12/2016,2,12,103,Tuesday,Tue,True,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/12/2015
20160413,4/13/2016,3,13,104,Wednesday,Wed,True,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/13/2015
20160414,4/14/2016,4,14,105,Thursday,Thu,True,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/14/2015
20160415,4/15/2016,5,15,106,Friday,Fri,True,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/15/2015
20160416,4/16/2016,6,16,107,Saturday,Sat,False,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/16/2015
20160417,4/17/2016,7,17,108,Sunday,Sun,False,16,16,4/11/2016,20160411,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/17/2015
20160418,4/18/2016,1,18,109,Monday,Mon,True,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/18/2015
20160419,4/19/2016,2,19,110,Tuesday,Tue,True,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/19/2015
20160420,4/20/2016,3,20,111,Wednesday,Wed,True,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/20/2015
20160421,4/21/2016,4,21,112,Thursday,Thu,True,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/21/2015
20160422,4/22/2016,5,22,113,Friday,Fri,True,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/22/2015
20160423,4/23/2016,6,23,114,Saturday,Sat,False,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/23/2015
20160424,4/24/2016,7,24,115,Sunday,Sun,False,17,17,4/18/2016,20160418,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/24/2015
20160425,4/25/2016,1,25,116,Monday,Mon,True,18,18,4/25/2016,20160425,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/25/2015
20160426,4/26/2016,2,26,117,Tuesday,Tue,True,18,18,4/25/2016,20160425,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/26/2015
20160427,4/27/2016,3,27,118,Wednesday,Wed,True,18,18,4/25/2016,20160425,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/27/2015
20160428,4/28/2016,4,28,119,Thursday,Thu,True,18,18,4/25/2016,20160425,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/28/2015
20160429,4/29/2016,5,29,120,Friday,Fri,True,18,18,4/25/2016,20160425,4,4,April,Apr,2,2016,201604,10,4,2016,False,4/29/2015
20160430,4/30/2016,6,30,121,Saturday,Sat,False,18,18,4/25/2016,20160425,4,4,April,Apr,2,2016,201604,10,4,2016,True,4/30/2015
20160501,5/1/2016,7,1,122,Sunday,Sun,False,18,18,4/25/2016,20160425,5,5,May,May,2,2016,201605,11,4,2016,False,5/1/2015
20160502,5/2/2016,1,2,123,Monday,Mon,True,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/2/2015
20160503,5/3/2016,2,3,124,Tuesday,Tue,True,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/3/2015
20160504,5/4/2016,3,4,125,Wednesday,Wed,True,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/4/2015
20160505,5/5/2016,4,5,126,Thursday,Thu,True,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/5/2015
20160506,5/6/2016,5,6,127,Friday,Fri,True,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/6/2015
20160507,5/7/2016,6,7,128,Saturday,Sat,False,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/7/2015
20160508,5/8/2016,7,8,129,Sunday,Sun,False,19,19,5/2/2016,20160502,5,5,May,May,2,2016,201605,11,4,2016,False,5/8/2015
20160509,5/9/2016,1,9,130,Monday,Mon,True,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/9/2015
20160510,5/10/2016,2,10,131,Tuesday,Tue,True,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/10/2015
20160511,5/11/2016,3,11,132,Wednesday,Wed,True,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/11/2015
20160512,5/12/2016,4,12,133,Thursday,Thu,True,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/12/2015
20160513,5/13/2016,5,13,134,Friday,Fri,True,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/13/2015
20160514,5/14/2016,6,14,135,Saturday,Sat,False,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/14/2015
20160515,5/15/2016,7,15,136,Sunday,Sun,False,20,20,5/9/2016,20160509,5,5,May,May,2,2016,201605,11,4,2016,False,5/15/2015
20160516,5/16/2016,1,16,137,Monday,Mon,True,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/16/2015
20160517,5/17/2016,2,17,138,Tuesday,Tue,True,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/17/2015
20160518,5/18/2016,3,18,139,Wednesday,Wed,True,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/18/2015
20160519,5/19/2016,4,19,140,Thursday,Thu,True,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/19/2015
20160520,5/20/2016,5,20,141,Friday,Fri,True,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/20/2015
20160521,5/21/2016,6,21,142,Saturday,Sat,False,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/21/2015
20160522,5/22/2016,7,22,143,Sunday,Sun,False,21,21,5/16/2016,20160516,5,5,May,May,2,2016,201605,11,4,2016,False,5/22/2015
20160523,5/23/2016,1,23,144,Monday,Mon,True,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/23/2015
20160524,5/24/2016,2,24,145,Tuesday,Tue,True,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/24/2015
20160525,5/25/2016,3,25,146,Wednesday,Wed,True,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/25/2015
20160526,5/26/2016,4,26,147,Thursday,Thu,True,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/26/2015
20160527,5/27/2016,5,27,148,Friday,Fri,True,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/27/2015
20160528,5/28/2016,6,28,149,Saturday,Sat,False,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/28/2015
20160529,5/29/2016,7,29,150,Sunday,Sun,False,22,22,5/23/2016,20160523,5,5,May,May,2,2016,201605,11,4,2016,False,5/29/2015
20160530,5/30/2016,1,30,151,Monday,Mon,True,23,23,5/30/2016,20160530,5,5,May,May,2,2016,201605,11,4,2016,False,5/30/2015
20160531,5/31/2016,2,31,152,Tuesday,Tue,True,23,23,5/30/2016,20160530,5,5,May,May,2,2016,201605,11,4,2016,True,5/31/2015
20160601,6/1/2016,3,1,153,Wednesday,Wed,True,23,23,5/30/2016,20160530,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/1/2015
20160602,6/2/2016,4,2,154,Thursday,Thu,True,23,23,5/30/2016,20160530,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/2/2015
20160603,6/3/2016,5,3,155,Friday,Fri,True,23,23,5/30/2016,20160530,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/3/2015
20160604,6/4/2016,6,4,156,Saturday,Sat,False,23,23,5/30/2016,20160530,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/4/2015
20160605,6/5/2016,7,5,157,Sunday,Sun,False,23,23,5/30/2016,20160530,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/5/2015
20160606,6/6/2016,1,6,158,Monday,Mon,True,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/6/2015
20160607,6/7/2016,2,7,159,Tuesday,Tue,True,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/7/2015
20160608,6/8/2016,3,8,160,Wednesday,Wed,True,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/8/2015
20160609,6/9/2016,4,9,161,Thursday,Thu,True,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/9/2015
20160610,6/10/2016,5,10,162,Friday,Fri,True,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/10/2015
20160611,6/11/2016,6,11,163,Saturday,Sat,False,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/11/2015
20160612,6/12/2016,7,12,164,Sunday,Sun,False,24,24,6/6/2016,20160606,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/12/2015
20160613,6/13/2016,1,13,165,Monday,Mon,True,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/13/2015
20160614,6/14/2016,2,14,166,Tuesday,Tue,True,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/14/2015
20160615,6/15/2016,3,15,167,Wednesday,Wed,True,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/15/2015
20160616,6/16/2016,4,16,168,Thursday,Thu,True,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/16/2015
20160617,6/17/2016,5,17,169,Friday,Fri,True,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/17/2015
20160618,6/18/2016,6,18,170,Saturday,Sat,False,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/18/2015
20160619,6/19/2016,7,19,171,Sunday,Sun,False,25,25,6/13/2016,20160613,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/19/2015
20160620,6/20/2016,1,20,172,Monday,Mon,True,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/20/2015
20160621,6/21/2016,2,21,173,Tuesday,Tue,True,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/21/2015
20160622,6/22/2016,3,22,174,Wednesday,Wed,True,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/22/2015
20160623,6/23/2016,4,23,175,Thursday,Thu,True,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/23/2015
20160624,6/24/2016,5,24,176,Friday,Fri,True,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/24/2015
20160625,6/25/2016,6,25,177,Saturday,Sat,False,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/25/2015
20160626,6/26/2016,7,26,178,Sunday,Sun,False,26,26,6/20/2016,20160620,6,6,June,Jun,2,2016,201606,12,4,2016,False,6/26/2015
